"","Nome_científico","Local","Município","eventDate","decimalLatitude","decimalLongitude","measurementDeterminedBy","coordinate.type.","coordinateUncertaintyInMeters","rightsHolder","year","sigla.UF.","ID.","Situação","Categoria CDB","Subcategoria CDB","Ambiente","Grupo biológico"
"1","Ciona intestinalis","Quebra mar da Urca","Rio De Janeiro","2010-09-01/2010-11-01",-22.949508,-43.167494,"LUIS FELIPE SKINNER",NA,NA,"SISBIO",2010,"RJ","ID_002936","Presente",NA,NA,NA,NA
"2","Ciona intestinalis","Reserva Extrativista Arraial do Cabo","Arraial Do Cabo","2010-09-01/2010-10-31",-22.972728,-42.013744,"LUIS FELIPE SKINNER",NA,NA,"SISBIO",2010,"RJ","ID_003799","Presente",NA,NA,NA,NA
"3","Nandayus nenday",NA,"Foz Do Iguaçu",NA,-25.5477777777778,-54.5880555555556,NA,NA,NA,"InstitutoHorus",NA,"PR","ID_072879","Presente",NA,NA,NA,NA
"4","Ciona intestinalis",NA,"Rio De Janeiro",NA,-22.9536944444444,-43.1637111111111,NA,NA,NA,"InstitutoHorus",NA,"RJ","ID_072944","Presente",NA,NA,NA,NA
"5","Ciona intestinalis",NA,"Rio De Janeiro",NA,-22.7768833333333,-43.1640583333333,NA,NA,NA,"InstitutoHorus",NA,"RJ","ID_072945","Presente",NA,NA,NA,NA
"6","Ciona intestinalis",NA,"Santos",NA,-23.8838888888889,-46.1955277777778,NA,NA,NA,"InstitutoHorus",NA,"SP","ID_072946","Presente",NA,NA,NA,NA
"7","Ciona intestinalis",NA,"Matinhos",NA,-25.8164166666667,-48.5337777777778,NA,NA,NA,"InstitutoHorus",NA,"PR","ID_072947","Presente",NA,NA,NA,NA
"8","Nandayus nenday","NA","NA","2021-03-12T17:34:42",-18.987329,-56.619592,NA,NA,NA,"GBIF",2021,"MS","ID_121232","Presente",NA,NA,NA,NA
"9","Nandayus nenday","NA","NA","2021-03-19T07:07:00",-20.086153,-56.615081,NA,NA,NA,"GBIF",2021,"MS","ID_121233","Presente",NA,NA,NA,NA
"10","Nandayus nenday","Ladário - Apa Baía Negra","NA","2020-01-04T00:00:00",-19.02374,-57.602215,NA,NA,NA,"GBIF",2020,"MS","ID_121234","Presente",NA,NA,NA,NA
"11","Nandayus nenday","Pousada Aguape","NA","2020-01-20T00:00:00",-20.095621,-55.964844,NA,NA,NA,"GBIF",2020,"MS","ID_121235","Presente",NA,NA,NA,NA
"12","Nandayus nenday","Riacho San Alberto, Alto Paraguay (Matogrosense)","NA","2020-01-15T00:00:00",-21.933332,-57.933334,NA,NA,NA,"GBIF",2020,"MS","ID_121237","Presente",NA,NA,NA,NA
"13","Nandayus nenday","Estrada Miranda-Caiman","NA","2020-01-27T00:00:00",-20.103973,-56.329517,NA,NA,NA,"GBIF",2020,"MS","ID_121238","Presente",NA,NA,NA,NA
"14","Nandayus nenday","Transpantaneira-Rio Bento Gomes","NA","2020-02-04T00:00:00",-16.452152,-56.67704,NA,NA,NA,"GBIF",2020,"MT","ID_121241","Presente",NA,NA,NA,NA
"15","Nandayus nenday","Refugio Ecologico Caiman","NA","2020-02-19T00:00:00",-19.952642,-56.30441,NA,NA,NA,"GBIF",2020,"MS","ID_121242","Presente",NA,NA,NA,NA
"16","Nandayus nenday","Miranda--Fazenda San Francisco","NA","2020-02-06T00:00:00",-20.085772,-56.61538,NA,NA,NA,"GBIF",2020,"MS","ID_121244","Presente",NA,NA,NA,NA
"17","Nandayus nenday","Pousada e Camping Santa Clara","NA","2020-02-25T00:00:00",-19.44733,-57.07575,NA,NA,NA,"GBIF",2020,"MS","ID_121246","Presente",NA,NA,NA,NA
"18","Nandayus nenday","Estrada-Parque Pantanal Sul","NA","2020-02-19T00:00:00",-19.555666,-57.038612,NA,NA,NA,"GBIF",2020,"MS","ID_121248","Presente",NA,NA,NA,NA
"19","Nandayus nenday","Corumbá","NA","2020-02-14T00:00:00",-19.012949,-57.641445,NA,NA,NA,"GBIF",2020,"MS","ID_121250","Presente",NA,NA,NA,NA
"20","Nandayus nenday","NA","NA","2020-03-08T07:08:07",-20.095835,-55.965215,NA,NA,NA,"GBIF",2020,"MS","ID_121255","Presente",NA,NA,NA,NA
"21","Nandayus nenday","Miranda, MS","NA","2020-03-14T00:00:00",-20.24359,-56.37457,NA,NA,NA,"GBIF",2020,"MS","ID_121258","Presente",NA,NA,NA,NA
"22","Nandayus nenday","Pantanal--Pousada Rio Claro","NA","2020-03-17T00:00:00",-16.620695,-56.735313,NA,NA,NA,"GBIF",2020,"MT","ID_121260","Presente",NA,NA,NA,NA
"23","Nandayus nenday","Passo do Lontra--Base de Pesquisas da UFMS","NA","2020-03-13T00:00:00",-19.576218,-57.019047,NA,NA,NA,"GBIF",2020,"MS","ID_121261","Presente",NA,NA,NA,NA
"24","Nandayus nenday","Rio Claro boat trip","NA","2020-03-17T00:00:00",-16.619621,-56.7347,NA,NA,NA,"GBIF",2020,"MT","ID_121262","Presente",NA,NA,NA,NA
"25","Nandayus nenday","Foz do Iguaçu (área geral)","NA","2020-04-24T00:00:00",-25.515411,-54.585056,NA,NA,NA,"GBIF",2020,"PR","ID_121265","Presente",NA,NA,NA,NA
"26","Nandayus nenday","Refúgio Ecológico Caiman--General Area","NA","2020-07-16T00:00:00",-19.95431,-56.304276,NA,NA,NA,"GBIF",2020,"MS","ID_121276","Presente",NA,NA,NA,NA
"27","Nandayus nenday","Aquidauana Casa Sogro","NA","2020-07-05T00:00:00",-20.47528,-55.760494,NA,NA,NA,"GBIF",2020,"MS","ID_121282","Presente",NA,NA,NA,NA
"28","Nandayus nenday","Indaiatuba--Vale das Laranjeiras","NA","2020-08-22T00:00:00",-23.133823,-47.18278,NA,NA,NA,"GBIF",2020,"SP","ID_121292","Presente",NA,NA,NA,NA
"29","Nandayus nenday","SJ3 Mato Grosso do Sul, BR (-18,677, -56,363)","NA","2020-08-19T00:00:00",-18.676985,-56.36265,NA,NA,NA,"GBIF",2020,"MS","ID_121299","Presente",NA,NA,NA,NA
"30","Nandayus nenday","1649 Rua Cinco, 254, Nova Aquidauana","NA","2020-08-16T00:00:00",-20.443863,-55.799538,NA,NA,NA,"GBIF",2020,"MS","ID_121302","Presente",NA,NA,NA,NA
"31","Nandayus nenday","Unnamed Road, Mato Grosso do Sul, BR (-20,226, -56,575)","NA","2020-08-02T00:00:00",-20.226187,-56.57509,NA,NA,NA,"GBIF",2020,"MS","ID_121305","Presente",NA,NA,NA,NA
"32","Nandayus nenday","Unnamed Road, Mato Grosso do Sul, BR (-18,463, -54,776)","NA","2020-08-31T00:00:00",-18.463379,-54.776047,NA,NA,NA,"GBIF",2020,"MS","ID_121306","Presente",NA,NA,NA,NA
"33","Nandayus nenday","Paratudal--Posto Paulista Morrinho","NA","2020-09-24T00:00:00",-19.493958,-57.428802,NA,NA,NA,"GBIF",2020,"MS","ID_121319","Presente",NA,NA,NA,NA
"34","Nandayus nenday","197 Rua Rio Formoso, Mato Grosso do Sul, BR (-21,13, -56,469)","NA","2020-09-07T00:00:00",-21.1301,-56.469124,NA,NA,NA,"GBIF",2020,"MS","ID_121321","Presente",NA,NA,NA,NA
"35","Nandayus nenday","Hotel Goldfish","NA","2020-09-30T00:00:00",-19.001657,-57.613815,NA,NA,NA,"GBIF",2020,"MS","ID_121329","Presente",NA,NA,NA,NA
"36","Nandayus nenday","Posto PMA","NA","2020-10-11T00:00:00",-19.649256,-57.027107,NA,NA,NA,"GBIF",2020,"MS","ID_121333","Presente",NA,NA,NA,NA
"37","Nandayus nenday","Pousada Sao Joao (Pantanal sur)","NA","2020-10-18T00:00:00",-19.400959,-57.04023,NA,NA,NA,"GBIF",2020,"MS","ID_121334","Presente",NA,NA,NA,NA
"38","Nandayus nenday","Porto General de Corumbá","NA","2020-10-17T00:00:00",-18.997023,-57.654366,NA,NA,NA,"GBIF",2020,"MS","ID_121338","Presente",NA,NA,NA,NA
"39","Nandayus nenday","Arredores de Bonito/MS","NA","2020-10-17T00:00:00",-21.100435,-56.47344,NA,NA,NA,"GBIF",2020,"MS","ID_121339","Presente",NA,NA,NA,NA
"40","Nandayus nenday","4 Rua Rubi, Mato Grosso do Sul, BR (-19,014, -57,629)","NA","2020-10-17T00:00:00",-19.014019,-57.629192,NA,NA,NA,"GBIF",2020,"MS","ID_121340","Presente",NA,NA,NA,NA
"41","Nandayus nenday","Fazenda Santa Sofia","NA","2020-10-01T00:00:00",-19.669275,-56.329952,NA,NA,NA,"GBIF",2020,"MS","ID_121343","Presente",NA,NA,NA,NA
"42","Nandayus nenday","Poconé--Porto Jofre","NA","2020-10-20T00:00:00",-17.357506,-56.768127,NA,NA,NA,"GBIF",2020,"MT","ID_121345","Presente",NA,NA,NA,NA
"43","Nandayus nenday","Bodoquena--Fazenda Boca da Onça","NA","2020-10-22T00:00:00",-20.73974,-56.731007,NA,NA,NA,"GBIF",2020,"MS","ID_121351","Presente",NA,NA,NA,NA
"44","Nandayus nenday","Porto Murtinho MS","NA","2020-10-17T00:00:00",-21.706493,-57.891693,NA,NA,NA,"GBIF",2020,"MS","ID_121357","Presente",NA,NA,NA,NA
"45","Nandayus nenday","Avenida Laranjeiras, Porto Murtinho BR-MS -21.69759, -57.88345","NA","2020-10-17T00:00:00",-21.697594,-57.883446,NA,NA,NA,"GBIF",2020,"MS","ID_121359","Presente",NA,NA,NA,NA
"46","Nandayus nenday","195 Rua Fernando Corrêa da Costa, Mato Grosso do Sul, BR (-19,009, -57,608)","NA","2020-10-17T00:00:00",-19.00856,-57.607685,NA,NA,NA,"GBIF",2020,"MS","ID_121364","Presente",NA,NA,NA,NA
"47","Nandayus nenday","Poconé, Mato Grosso","NA","2020-11-03T00:00:00",-16.7197,-56.8688,NA,NA,NA,"GBIF",2020,"NA","ID_121366","Presente",NA,NA,NA,NA
"48","Nandayus nenday","Hotel Pantanal Mato Grosso--sede","NA","2020-11-03T00:00:00",-16.747957,-56.85705,NA,NA,NA,"GBIF",2020,"MT","ID_121368","Presente",NA,NA,NA,NA
"49","Nandayus nenday","Refugio Ecologico Caiman","NA","2019-01-27T00:00:00",-19.952642,-56.30441,NA,NA,NA,"GBIF",2019,"MS","ID_121380","Presente",NA,NA,NA,NA
"50","Nandayus nenday","Unnamed Road, Mato Grosso do Sul, BR (-19,965, -56,307)","NA","2019-01-20T00:00:00",-19.965378,-56.307205,NA,NA,NA,"GBIF",2019,"MS","ID_121382","Presente",NA,NA,NA,NA
"51","Nandayus nenday","(-19,946, -56,288)","NA","2019-01-21T00:00:00",-19.94641,-56.28771,NA,NA,NA,"GBIF",2019,"MS","ID_121390","Presente",NA,NA,NA,NA
"52","Nandayus nenday","Estrada Assentamento Canaã e Bonito , Mato Grosso do Sul, BR (-20,623, -56,701)","NA","2019-01-06T00:00:00",-20.62318,-56.70079,NA,NA,NA,"GBIF",2019,"MS","ID_121392","Presente",NA,NA,NA,NA
"53","Nandayus nenday","NA","NA","2019-02-05T15:35:00",-19.493569,-56.958047,NA,NA,NA,"GBIF",2019,"MS","ID_121396","Presente",NA,NA,NA,NA
"54","Nandayus nenday","NA","NA","2019-02-07T10:42:00",-19.008169,-57.65155,NA,NA,NA,"GBIF",2019,"MS","ID_121397","Presente",NA,NA,NA,NA
"55","Nandayus nenday","Unnamed Road, Mato Grosso do Sul, BR (-19,964, -56,307)","NA","2019-02-01T00:00:00",-19.9637,-56.306957,NA,NA,NA,"GBIF",2019,"MS","ID_121398","Presente",NA,NA,NA,NA
"56","Nandayus nenday","Parque Natural Municipal da Lagoa Comprida","NA","2019-02-02T00:00:00",-20.4653,-55.776516,NA,NA,NA,"GBIF",2019,"MS","ID_121399","Presente",NA,NA,NA,NA
"57","Nandayus nenday","Pousada Aguape","NA","2019-02-20T00:00:00",-20.095621,-55.964844,NA,NA,NA,"GBIF",2019,"MS","ID_121401","Presente",NA,NA,NA,NA
