"","id","nome","categoria","origem","categoria_IUCN","value2a"
"1",42,"Reserva Biológica Do Lago Piratuba","Reserva Biológica","Protected Planet","Ia",7
"2",43,"Reserva Biológica Do Rio Trombetas","Reserva Biológica","Protected Planet","Ia",7
"3",44,"Reserva Biológica Do Jaru","Reserva Biológica","Protected Planet","Ia",7
"4",46,"Reserva Biológica Atol Das Rocas","Reserva Biológica","Protected Planet","Ia",7
"5",47,"Reserva Biológica De Sooretama","Reserva Biológica","Protected Planet","Ia",7
"6",48,"Reserva Biológica De Una","Reserva Biológica","Protected Planet","Ia",7
"7",49,"Reserva Biológica De Poço Das Antas","Reserva Biológica","Protected Planet","Ia",7
"8",51,"Reserva Biológica Do Córrego Do Veado","Reserva Biológica","Protected Planet","Ia",7
"9",52,"Reserva Biológica De Serra Negra","Reserva Biológica","Protected Planet","Ia",7
"10",53,"Parque Nacional Do Jaú","Parque","Protected Planet","II",6
"11",54,"Parque Nacional Do Pico Da Neblina","Parque","Protected Planet","II",6
"12",55,"Parque Nacional Da Amazônia","Parque","Protected Planet","II",6
"13",56,"Parque Nacional De Pacaás Novos","Parque","Protected Planet","II",6
"14",57,"Parque Nacional Do Cabo Orange","Parque","Protected Planet","II",6
"15",58,"Parque Nacional Do Araguaia","Parque","Protected Planet","II",6
"16",59,"Parque Nacional Da Chapada Dos Veadeiros","Parque","Protected Planet","II",6
"17",60,"Parque Nacional Do Iguaçu","Parque","Protected Planet","II",6
"18",61,"Parque Nacional Dos Lençois Maranhenses","Parque","Protected Planet","II",6
"19",62,"Parque Nacional Das Emas","Parque","Protected Planet","II",6
"20",64,"Parque Nacional Da Serra Da Capivara","Parque","Protected Planet","II",6
"21",65,"Parque Nacional Da Serra Da Canastra","Parque","Protected Planet","II",6
"22",66,"Parque Nacional De São Joaquim","Parque","Protected Planet","II",6
"23",67,"Parque Nacional De Brasília","Parque","Protected Planet","II",6
"24",68,"Parque Nacional Do Monte Pascoal","Parque","Protected Planet","II",6
"25",69,"Parque Nacional De Caparao","Parque","Protected Planet","II",6
"26",70,"Parque Nacional Do Itatiaia","Parque","Protected Planet","II",6
"27",71,"Parque Nacional De Aparados Da Serra","Parque","Protected Planet","II",6
"28",72,"Parque Nacional Da Serra Dos Orgãos","Parque","Protected Planet","II",6
"29",73,"Parque Nacional De Sete Cidades","Parque","Protected Planet","II",6
"30",74,"Parque Nacional Da Tijuca","Parque","Protected Planet","II",6
"31",75,"Parque Nacional De Ubajara","Parque","Protected Planet","II",6
"32",1974,"Parque Nacional Da Serra Da Bocaina","Parque","Protected Planet","II",6
"33",2186,"Reserva Biológica Augusto Ruschi","Reserva Biológica","Protected Planet","Ia",7
"34",2215,"Parque Nacional De Anavilhanas","Parque","Protected Planet","II",6
"35",2216,"Estação Ecológica De Aracuri-Esmeralda","Estação Ecológica","Protected Planet","Ia",7
"36",2218,"Estação Ecológica De Maracá","Estação Ecológica","Protected Planet","Ia",7
"37",2219,"Estação Ecológica De Maracá Jipioca","Estação Ecológica","Protected Planet","Ia",7
"38",2220,"Estação Ecológica De Taiamã","Estação Ecológica","Protected Planet","Ia",7
"39",2221,"Estação Ecológica De Uruçuí-Una","Estação Ecológica","Protected Planet","Ia",7
"40",2222,"Estação Ecológica Rio Acre","Estação Ecológica","Protected Planet","Ia",7
"41",2581,"Parque Nacional Do Pantanal Matogrossense","Parque","Protected Planet","II",6
"42",3219,"Parque Estadual Do Rio Doce","Parque","Protected Planet","II",6
"43",4891,"Estação Ecológica Do Jari","Estação Ecológica","Protected Planet","Ia",7
"44",4892,"Estação Ecológica De Paulo De Faria","Estação Ecológica","Protected Planet","Ia",7
"45",4893,"Parque Estadual Turístico Do Alto Do Ribeira","Parque","Protected Planet","II",6
"46",4894,"Parque Estadual Da Ara","Parque","Protected Planet","II",6
"47",4895,"Estação Ecológica Dos Caetetus","Estação Ecológica","Protected Planet","Ia",7
"48",4896,"Parque Estadual De Campos Do Jordão","Parque","Protected Planet","II",6
"49",4897,"Parque Estadual Carlos Botelho","Parque","Protected Planet","II",6
"50",4899,"Parque Estadual Da Ilha Anchieta","Parque","Protected Planet","II",6
"51",4900,"Parque Estadual  De Ilhabela","Parque","Protected Planet","II",6
"52",4903,"Parque Estadual Do Jaraguá","Parque","Protected Planet","II",6
"53",4904,"Parque Estadual Da Serra Do Mar","Parque","Protected Planet","II",6
"54",4908,"Parque Estadual De Vassununga","Parque","Protected Planet","II",6
"55",4912,"Parque Estadual Da Cantareira","Parque","Protected Planet","II",6
"56",4915,"Estação Ecológica De Itapeti","Estação Ecológica","Protected Planet","Ia",7
"57",5123,"Estação Ecológica Do Seridó","Estação Ecológica","Protected Planet","Ia",7
"58",5125,"Parque Estadual Serra Das Araras","Parque","Protected Planet","II",6
"59",5126,"Reserva Biológica Do Guaporé","Reserva Biológica","Protected Planet","Ia",7
"60",5127,"Reserva Biológica Do Abufari","Reserva Biológica","Protected Planet","Ia",7
"61",6074,"Reserva Biológica Do Tapirapé","Reserva Biológica","Protected Planet","Ia",7
"62",6957,"Reserva Biológica De Saltinho","Reserva Biológica","Protected Planet","Ia",7
"63",7906,"Área De Proteção Ambiental De Guaraqueçaba","Área de Proteção Ambiental","Protected Planet","V",3
"64",7908,"Estação Ecológica Do Taim","Estação Ecológica","Protected Planet","Ia",7
"65",9822,"Reserva Biológica De Comboios","Reserva Biológica","Protected Planet","Ia",7
"66",10086,"Área De Relevante Interesse Ecológica Capetinga/Taquara","Área de Relevante Interesse Ecológico","Protected Planet","IV",4
"67",10795,"Reserva Biológica Do Gurupi","Reserva Biológica","Protected Planet","Ia",7
"68",10801,"Parque do Tumucumaque","Terra Indígena","Protected Planet","VI",2
"69",10802,"Floresta Nacional De Tapajós","Floresta","Protected Planet","IV",4
"70",10803,"Floresta Nacional De Caxiuanã","Floresta","Protected Planet","IV",4
"71",10808,"Floresta Nacional De Três Barras","Floresta","Protected Planet","IV",4
"72",10809,"Floresta Nacional De Caçador","Floresta","Protected Planet","IV",4
"73",10810,"Floresta Nacional De São Francisco De Paula","Floresta","Protected Planet","IV",4
"74",10811,"Floresta Nacional De Canela","Floresta","Protected Planet","IV",4
"75",10814,"Floresta Nacional De Passo Fundo","Floresta","Protected Planet","IV",4
"76",10815,"Floresta Nacional Do Jamari","Floresta","Protected Planet","IV",4
"77",10821,"Área De Relevante Interesse Ecológica Manguezais Da Foz Do Rio Mamanguape","Área de Relevante Interesse Ecológico","Protected Planet","IV",4
"78",10822,"Estação Ecológica De Carijós","Estação Ecológica","Protected Planet","Ia",7
"79",10823,"Estação Ecológica De Pirapitinga","Estação Ecológica","Protected Planet","Ia",7
"80",10826,"Estação Ecológica De Niquiá","Estação Ecológica","Protected Planet","Ia",7
"81",10830,"Estação Ecológica Juami-Japurá","Estação Ecológica","Protected Planet","Ia",7
"82",10842,"Estação Ecológica Raso Da Catarina","Estação Ecológica","Protected Planet","Ia",7
"83",10843,"Refugio De Vida Silvestre Ilha Dos Lobos","Refugio de Vida Silvestre","Protected Planet","III",5
"84",10845,"Estação Ecológica De Jutaí-Solimões","Estação Ecológica","Protected Planet","Ia",7
"85",10846,"Estação Ecológica De Aiuaba","Estação Ecológica","Protected Planet","Ia",7
