"","via","slope","angulo","slope_padronizado","Categoria CDB"
"1","Animais domésticos",14.3677743647695,86.0186227276579,0.292686473535454,"Escape"
"2","Pesquisa e e criação ex-situ",0.468288268212984,25.0931415185859,0.0191819950303716,"Escape"
"3","Dispersão natural (vias 1 a 5) por fronteiras",43.6856952263125,88.6886834483421,0.8695842523732,"Sem ajuda humana"
"4","Outra soltura intencional",29.5646356749652,88.0627549453228,0.591719804601473,"Soltura na natureza"
"5","Agricultura e biocombustíveis",1.04732964064776,46.3243132267966,0.0305759708580012,"Escape"
"6","Fins ornamentais",3.71682119686001,74.9413240089281,0.0831043802454844,"Escape"
"7","Jardim botânico, zoológico, aquário (não domésticos)",4.34537967546856,77.0401893211993,0.0954727194565556,"Escape"
"8","Plantas cultivadas",2.31266173999851,66.6162387687309,0.0554743011678107,"Escape"
"9","Transporte de material natural",2.35194681460408,66.9657885541942,0.056247325707595,"Transporte como contaminante"
"10","Aquário, terrário e pet (incluindo comida viva para essas espécies)",50.313418036625,88.8613725924511,1,"Escape"
"11","Aquicultura/maricultura",2.67598691936982,69.5095906210972,0.0626235628758628,"Escape"
"12","Comida viva e isca viva",5.29412285339231,79.303499540642,0.114141431832733,"Escape"
"13","Presença em navio e embarbação",16.1699933893198,86.4611671894908,0.328149293602138,"Transporte clandestino"
"14","Maquinário e equipamento",2.61348415105184,69.0616010140795,0.0613936766099117,"Transporte clandestino"
"15","Veículos",0.801501169930895,38.7122154124715,0.0257387281557855,"Transporte clandestino"
"16","Controle de erosão, quebra vento ou cerca viva",0.337450250638271,18.6469797672201,0.0166074549706296,"Soltura na natureza"
"17","Contaminação em sementes",0.246755146593883,13.8611301684685,0.0148228194119977,"Transporte como contaminante"
"18","Contaminantes em animais (exceto parasitas)",0.17741737134755,10.0605796177409,0.0134584386048434,"Transporte como contaminante"
"19","Pesca na natureza",2.12125527502866,64.7599203164538,0.0517079370720152,"Soltura na natureza"
"20","Canais, bacias e mares interconectados",0.775959971907235,37.8100313758023,0.025236146118052,"Corredor"
"21","Água de lastro",0.393554229442653,21.4823281754682,0.017711430280102,"Transporte clandestino"
"22","Controle biológico",1.00816705532828,45.2330160831353,0.0298053565777102,"Soltura na natureza"
"23","Bioincrustação em navios",0.34352693054647,18.9589767358732,0.0167270276769721,"Transporte clandestino"
"24","Melhoramento de paisagem",13.4203148974347,85.7385433727853,0.274043021128798,"Soltura na natureza"
"25","Contaminantes em plantas (exceto parasitas)",12.7648509577273,85.52059025052,0.261145254854334,"Transporte como contaminante"
"26","Contaminação em material para viveiros",0.0470533425753608,2.69397094814598,0.0108932253690826,"Transporte como contaminante"
"27","Bagagens e turismo",0.00254462344667629,0.145795869263771,0.0100174135635486,"Transporte clandestino"
"28","Produção florestal e reflorestamento",0.14970766150164,8.51438372237138,0.0129131860905932,"Escape"
"29","Container/volume",0.505614139557077,26.8218060731926,0.0199164677228003,"Transporte clandestino"
"30","Presença em avião",0.179135556916786,10.1559919368876,0.0134922478726698,"Transporte clandestino"
"31","Caça na natureza",5.13747363137546,78.9852104998614,0.111058996735614,"Soltura na natureza"
"32","Introdução para fins de conservação",0.00165966687938926,0.0950918202767621,0.01,"Soltura na natureza"
"33","Comércio de madeira",5.5430116899531,79.7734214155316,0.119038894298353,"Transporte como contaminante"
"34","Material de embalagem orgânico",5.16854516651127,79.049822338189,0.111670400923843,"Transporte clandestino"
"35","Contaminação de comida incluindo comida viva",0.0399123571703577,2.28559648252833,0.0107527099949429,"Transporte como contaminante"
"36","Fazendas de peles de animais",0.0790124716387292,4.517695473879,0.0115220950170129,"Escape"
"37","Outro meio de transporte",0.0270524020624525,1.54961051918884,0.0104996606885906,"Transporte clandestino"
"38","Equipamento de pesca",NA,NA,NA,"Transporte clandestino"
"39","Parasitas em animais",NA,NA,NA,"Transporte clandestino"
"40","Parasitas em plantas",NA,NA,NA,"Transporte clandestino"
