"","Categoria CDB","Subcategoria CDB","n_reg"
"1","Corredor","Canais, bacias e mares interconectados",2215
"2","Escape","Agricultura e biocombustíveis",9096
"3","Escape","Animais domésticos",18298
"4","Escape","Aquicultura/maricultura",4727
"5","Escape","Aquário, terrário e pet (incluindo comida viva para essas espécies)",72411
"6","Escape","Comida viva e isca viva",5269
"7","Escape","Fazendas de peles de animais",263
"8","Escape","Fins ornamentais",30904
"9","Escape","Jardim botânico, zoológico, aquário (não domésticos)",27727
"10","Escape","Pesquisa e e criação ex-situ",2114
"11","Escape","Plantas cultivadas",19562
"12","Escape","Produção florestal e reflorestamento",887
"13","Sem ajuda humana","Dispersão natural (vias 1 a 5) por fronteiras",57723
"14","Soltura na natureza","Caça na natureza",6569
"15","Soltura na natureza","Controle biológico",2070
"16","Soltura na natureza","Controle de erosão, quebra vento ou cerca viva",2937
"17","Soltura na natureza","Introdução para fins de conservação",28
"18","Soltura na natureza","Melhoramento de paisagem",19979
"19","Soltura na natureza","Outra soltura intencional",39466
"20","Soltura na natureza","Pesca na natureza",5100
"21","Transporte clandestino","Bagagens e turismo",18
"22","Transporte clandestino","Bioincrustação em navios",761
"23","Transporte clandestino","Container/volume",1099
"24","Transporte clandestino","Maquinário e equipamento",15692
"25","Transporte clandestino","Material de embalagem orgânico",5232
"26","Transporte clandestino","Outro meio de transporte",11
"27","Transporte clandestino","Parasitas em animais",1
"28","Transporte clandestino","Presença em avião",379
"29","Transporte clandestino","Presença em navio e embarbação",30226
"30","Transporte clandestino","Veículos",6551
"31","Transporte clandestino","Água de lastro",1049
"32","Transporte como contaminante","Comércio de madeira",5661
"33","Transporte como contaminante","Contaminantes em animais (exceto parasitas)",1326
"34","Transporte como contaminante","Contaminantes em plantas (exceto parasitas)",9354
"35","Transporte como contaminante","Contaminação de comida incluindo comida viva",82
"36","Transporte como contaminante","Contaminação em material para viveiros",175
"37","Transporte como contaminante","Contaminação em sementes",2123
"38","Transporte como contaminante","Transporte de material natural",18849
